Код	Описание
SS1.1	Определяет ценностные предпосылки, когнитивные искажения, культурно-обусловленные предвзятости в данных, алгоритмах, постановке задач для ИИ
SS1.2	Применяет методики работы с этическими и социальными рисками, возникающими на разных стадиях жизненного цикла ИИ
SS2.1	Эффективно коммуницирует с участниками проектной команды при планировании, реализации и анализе результатов работы
SS2.2	Учитывает профессиональные и ролевые особенности коллег при совместной разработке технических решений и представлении результатов
SS3.1	Учитывает в работе когнитивные искажения человека и выявляет предвзятости систем ИИ, аргументированно оценивает надежность данных и выдачи ИИ
SS3.2	Определяет релевантность применения ИИ для решения конкретных задач, анализирует поведение ИИ в техническом, социальном и правовом контекстах, переносит идеи и методы за пределы исходной предметной области
SS3.3	Осуществляет метарефлексию при анализе систем и принятии решений, предсказывает возможные эффекты от внедрения ИИ через несколько уровней влияния, переосмысляет ИИ в своей профессиональной роли и в обществе
MF-1.2	Применяет аппарат теории вероятностей, матстатистики и теории информации для формулирования и анализа задач искусственного интеллекта
MF-1.3	Применяет аппарат теории вероятностей для исследования методов и моделей машинного обучения
MF-2.1	Использует теорему Байеса и её следствия, понимает отличия байесовской статистики от частотного подхода
MF-2.2	Применяет байесовские методы оценивания и байесовские интервалы для решения задач статистики и построения моделей
MF-2.4	Применяет байесовские модели и гауссовские процессы для решения задач регрессии, классификации и оптимизации
MF-3.1	Применяет методы оптимизации для настройки и обучения моделей машинного обучения
MF-3.2	Осуществляет подбор гиперпараметров моделей с использованием современных фреймворков автоматической оптимизации
MF-4.1	Применяет статистические тесты для проверки гипотез о данных и моделях машинного обучения
MF-4.3	Оценивает качество моделей с использованием статистических метрик и доверительных интервалов
MF-5.1	Применяет теорию графов и графовые алгоритмы для анализа структурированных данных и построения моделей
MF-6.1	Применяет формальную логику и логический вывод для построения и верификации систем ИИ
BD-1.1	Обосновывает способы и варианты применения методов предварительного анализа данных в задачах ИИ, включая их математическое (алгоритмическое) преобразование и адаптацию к специфике задачи
BD-1.2	Применяет методы анализа данных для проверки разведочных гипотез и подготовки данных к применению современных методов ИИ
BD-1.3	Применяет методы понижения размерности для первичной интерпретации и визуализации многомерных данных
BD-1.4	Отбирает признаки данных, значимые для исследования
BD-2.1	Работает с данными, в том числе собирает данные из разрозненных источников, проверяет данные на корректность
BD-2.2	Применяет инструменты и практики непрерывной интеграции данных (DataOps)
BD-3.1	Разрабатывает, отлаживает и тестирует прикладные решения с элементами ИИ с применением различных технологий хранения структурированных данных, оценивает качество
BD-3.2	Разрабатывает, отлаживает и тестирует прикладные решения с элементами ИИ с применением различных технологий хранения неструктурированных данных, оценивает качество
BD-4.1	Осуществляет выбор технологий обработки больших данных, приемлемых для создания прикладной системы ИИ с заданными требованиями
BD-4.2	Разрабатывает и отлаживает прикладные решения с элементами ИИ с применением различных технологий обработки данных
BD-5.1	Осуществляет выбор направления вспомогательных технологических решений для формирования единого стека работы с большими данными для решения поставленной задачи
BD-5.2	Разрабатывает и отлаживает прикладные решения с элементами ИИ с применением различных технологий организации инфраструктуры БД
ML-2.1	Различает основные типы задач машинного обучения и применяет на практике принципы их решения
ML-2.2	Применяет методы предварительной обработки данных и работы с признаками
ML-2.3	Решает проблемы несбалансированных данных и оценивает качество моделей
ML-3.1	Обосновывает способы и варианты применения классических методов и моделей машинного обучения в задачах ИИ, включая их математическое (алгоритмическое) преобразование и адаптацию к специфике задачи
ML-3.2	Эффективно применяет классические методы и модели машинного обучения для обеспечения достижимости функциональных характеристик систем ИИ
ML-4.1	Применяет методы кластеризации и понижения размерности для анализа структуры данных и выделения скрытых закономерностей
ML-4.2	Применяет методы поиска аномалий и обнаружения выбросов для контроля качества данных и выявления нештатных ситуаций
ML-5.1	Применяет методы защиты от adversarial-атак и оценивает устойчивость моделей к вредоносным воздействиям
ML-5.2	Обеспечивает надежность и отказоустойчивость ML-моделей в промышленной эксплуатации
ML-8.1	Применяет методы few-shot и zero-shot обучения для адаптации моделей к новым задачам при ограниченном объёме данных
ML-8.2	Применяет методы аугментации и генерации синтетических данных для расширения обучающих выборок
D-1.2	Способен реализовывать неглубокие нейронные сети (перцептроны, MLP), выбирать количество и размер слоёв, подходящие функции активации и функции потерь для решения задач классификации и регрессии
DL-1.2	Способен реализовывать базовые архитектуры глубоких нейронных сетей, понимать принципы их обучения и оптимизации
DL-1.3	Способен применять современные архитектуры глубоких сетей для решения различных задач, понимая их внутреннюю структуру и особенности обучения
DL-1.6	Способен разрабатывать, адаптировать и внедрять генеративные нейронные сети для решения практических задач, включая создание новых архитектур, оптимизацию обучения и промышленное развертывание моделей
DL-1.8	Способен применять графовые нейронные сети для анализа структурированных данных, представленных в виде графов
DL-1.12	Способен применять, адаптировать и разрабатывать методы дообучения нейронных сетей для эффективной адаптации моделей к новым задачам и доменам
DL-4.1	Применяет методы NLP для решения задач обработки и анализа текстовых данных на естественном языке
DL-4.2	Разрабатывает диалоговые системы, вопросно-ответные модели и рекомендательные системы на основе текстовых и мультимодальных данных
DL-4.3	Развёртывает NLP-пайплайны в промышленной среде с обеспечением масштабируемости и мониторинга
PL-1.1	Разрабатывает и отлаживает прикладные решения разной сложности и для разного круга конечных пользователей с использованием языка программирования Python, тестирует, испытывает и оценивает качество таких решений
PL-1.2	Осуществляет выбор инструментов разработки на Python, приемлемых для создания прикладной системы обработки научных данных, машинного обучения и визуализации с заданными требованиями
PL-1.3	Разрабатывает и поддерживает системы обработки больших данных различной степени сложности
PL-1.4	Проектирует системы распределённых вычислений на Python для эффективной обработки большого количества задач
PL-2.1	Разрабатывает и отлаживает прикладные решения разного уровня сложности и для широкого круга конечных пользователей с использованием JVM-совместимых языков программирования, тестирует, испытывает и оценивает качество таких решений
PL-2.2	Разрабатывает и поддерживает системы обработки больших данных различной степени сложности
PL-3.1	Разрабатывает и отлаживает эффективные многопоточные решения на C++, тестирует, испытывает и оценивает качество таких решений
PL-3.2	Разрабатывает и отлаживает системы ИИ на C++ под конкретные аппаратные платформы с ограничениями по вычислительной мощности, в том числе для встроенных систем
PL-3.3	Разрабатывает и отлаживает решения на C++, использующие GPU и FPGA для массовой параллелизации вычислений в рамках общей системы ИИ, с применением как готовых решений, так и разработкой своих
LC-1.2	Анализирует бизнес-проблемы и формулирует постановки задач машинного обучения с учётом требований заказчика и определением метрик успеха
LC-3.1	Создает и развивает архитектуры системы ИИ на всех этапах жизненного цикла
LC-4.1	Осуществляет запуск и ведение проекта в области ИИ, в том числе планирование и контроль задач, оценку ресурсов
LC-4.3	Контролирует реализацию проекта, осуществляет архитектурный надзор и ревью кода
LC-7.1	Осуществляет выбор инструментов и инженерных практик промышленной разработки систем ИИ, развертывания и сопровождения моделей машинного обучения в продуктивной среде
AIS-1.1	Выявляет и моделирует угрозы на всём жизненном цикле ИИ-систем, оценивает и приоритизирует риски
AIS-1.2	Обеспечивает соответствие нормативным требованиям и принципам доверенного/этичного ИИ
AIS-2.1	Проводит оценку защищённости и тестирование на проникновение ИИ-систем, валидирует безопасность и проводит аудит
AIS-2.2	Применяет методы защиты моделей от adversarial-атак, обеспечивает приватность и конфиденциальность данных
LLM-3.7	Применяет мультимодальные промпты
LLM-5.1	Использует базовые шаблоны промптов
